Date,KOLKATA,AGARTALA,CHITTAGONG,BOGRA,SYLHET,JESSORE,ISHURDI,RANGPUR,COXS BAZAR,DHAKA,BARISAL,SILIGURI,CHANDPUR,SRIMANGAL,SAIDPUR,MYMENSINGH,RAJSHAHI,PATUAKHALI,KHULNA,CHUADANGA,COMILLA,DINAJPUR,KHEPUPARA,SATKHIRA,FARIDPUR,HATIA,SANDWIP,KUTUBDIA,TANGAIL,MONGLA,MADARIPUR,MAIJDICOURT,BHOLA,RANGAMATI,SITAKUNDU,KYAUKTAW,TEKNAF,MALDA,RAJARHAT KURIGRAM,DHUBRI,JORHAT,COOCH BEHAR
1980-01-01,27.11,25.0,25.67,25.16,26.0,25.71,24.7,23.76,25.79,25.0,26.06,22.11,25.0,26.0,25.11,26.11,25.5,26.06,26.04,25.96,25.0,25.02,26.06,25.92,26.23,26.06,26.5,25.72,25.93,25.64,25.72,25.9,26.06,26.24,26.73,26.88,26.41,24.24,25.17,24.39,24.81,23.9
1980-01-02,22.89,25.0,25.16,23.65,21.0,24.47,23.78,21.89,25.57,25.0,25.0,17.0,25.0,21.0,17.0,24.32,24.02,25.0,25.21,24.67,25.0,22.75,25.0,25.09,25.52,25.54,25.92,25.57,24.94,25.35,25.0,25.36,25.0,25.48,26.32,25.33,25.51,22.72,22.17,22.92,22.5,22.4
1980-01-03,23.94,25.0,25.89,24.85,22.0,25.68,24.7,23.44,26.44,26.0,27.11,23.0,26.0,22.0,23.0,25.36,24.79,27.11,25.77,25.02,25.32,23.53,27.11,25.52,25.86,26.26,26.47,26.31,25.55,25.64,26.75,25.8,27.11,26.24,26.77,27.52,26.83,23.83,24.19,23.07,23.58,23.31
1980-01-04,25.0,26.06,26.35,25.24,24.0,25.7,24.86,23.85,26.82,27.0,27.89,23.94,27.0,24.0,24.0,25.55,24.85,27.89,25.78,24.99,26.36,24.23,27.89,25.43,25.35,26.63,26.72,26.66,25.28,25.96,27.6,26.02,27.89,26.31,27.0,27.44,27.42,23.84,24.68,23.96,24.4,24.55
1980-01-05,26.0,24.0,25.3,24.35,24.0,25.09,24.37,23.55,25.9,24.0,26.06,25.0,24.0,24.0,23.77,24.62,23.92,26.06,24.72,24.15,24.0,23.58,26.06,24.85,24.56,25.47,25.63,25.68,24.2,25.1,25.4,24.95,26.06,25.52,26.09,26.66,25.86,23.37,24.16,23.43,24.21,22.42
1980-01-06,23.97,23.94,25.1,23.88,21.0,24.67,23.95,23.25,25.55,24.0,26.06,23.94,24.0,21.0,23.12,23.67,23.43,26.06,24.67,23.96,24.0,22.79,26.06,24.46,24.19,25.33,25.17,25.07,23.6,24.87,25.4,24.61,26.06,25.24,25.28,26.62,25.27,22.68,22.98,22.62,23.38,20.89
1980-01-07,22.94,23.94,25.09,24.14,22.0,24.69,24.11,23.31,25.78,25.0,25.0,27.89,25.0,22.0,22.0,23.68,23.63,25.0,24.45,23.82,24.49,24.14,25.0,24.59,24.89,25.53,25.44,25.02,24.9,24.91,25.0,24.88,25.0,25.2,26.08,26.52,25.62,22.89,24.95,22.43,23.57,23.3
1980-01-08,22.94,25.0,24.58,23.99,23.0,24.69,24.01,23.19,25.76,23.0,23.79,25.0,23.0,23.0,25.0,24.04,24.08,24.0,24.92,24.3,24.02,24.0,24.0,24.6,24.31,24.72,24.92,24.61,24.13,24.73,23.51,24.39,24.0,25.3,25.6,26.29,25.5,23.38,25.12,23.0,23.9,23.8
1980-01-09,22.94,24.0,24.72,24.01,24.0,24.41,23.69,23.16,25.27,24.0,24.0,23.94,24.0,24.0,24.47,23.72,23.94,24.36,23.86,23.92,24.0,23.5,24.82,24.09,24.43,24.65,24.69,24.25,23.62,25.07,24.0,24.46,25.02,24.81,25.38,26.01,25.64,23.67,24.15,23.08,23.51,24.16
1980-01-10,22.94,23.0,24.31,23.71,23.0,24.09,23.49,23.09,25.06,23.0,23.0,24.0,23.0,23.0,24.0,22.8,22.4,24.6,23.79,22.88,23.0,22.16,24.74,23.59,23.7,24.71,24.82,24.69,22.5,23.52,23.0,24.3,24.61,24.8,25.19,25.52,25.13,22.48,22.35,21.9,23.39,22.36
1980-01-11,23.97,23.94,24.45,23.71,23.0,24.5,23.85,23.2,25.4,24.0,24.0,25.5,24.0,23.0,23.0,22.54,22.78,24.41,23.72,22.77,24.0,22.05,24.42,23.5,23.15,24.15,24.17,24.01,22.49,23.84,24.0,23.87,24.3,24.62,24.59,25.79,25.5,22.63,21.96,21.72,23.51,23.87
1980-01-12,26.03,23.94,24.73,24.13,26.0,24.64,23.98,23.31,25.42,24.0,24.0,23.94,24.0,26.0,23.09,23.46,23.06,23.95,23.4,22.88,24.0,22.17,24.17,23.74,23.33,23.82,23.87,24.23,23.25,24.12,24.0,23.49,23.68,24.72,24.82,26.19,25.34,22.88,22.27,23.0,24.33,24.23
1980-01-13,27.06,25.0,25.18,24.43,26.0,25.31,24.49,23.64,25.98,25.0,25.0,22.89,25.0,26.0,25.0,24.21,23.85,24.83,24.49,23.69,25.0,23.21,25.2,24.04,23.74,25.08,25.12,24.99,23.83,24.64,25.0,24.72,24.72,25.2,25.43,27.19,25.6,23.49,23.58,23.28,24.57,24.7
1980-01-14,26.03,25.54,25.14,23.05,26.0,24.57,23.56,21.49,26.05,25.0,27.11,22.89,25.0,26.0,16.0,24.21,22.85,24.78,24.56,23.59,25.0,21.41,25.18,23.94,23.66,24.64,25.24,25.15,23.82,24.21,25.0,24.62,24.77,24.4,25.59,26.63,26.01,22.36,21.56,22.87,23.96,23.79
1980-01-15,27.06,25.0,25.88,24.76,26.0,25.56,24.66,23.73,26.36,26.0,26.5,22.89,26.0,26.0,24.21,25.47,24.53,26.06,25.17,24.83,26.0,23.96,25.8,25.08,25.73,25.79,25.73,25.53,25.61,25.01,26.0,24.8,26.0,25.12,26.36,26.83,25.97,24.06,24.22,23.68,25.2,25.56
1980-01-16,30.0,25.0,25.45,24.41,26.0,25.57,24.46,24.03,26.18,25.0,26.0,22.89,25.0,26.0,24.42,25.13,24.68,25.57,25.11,25.72,25.0,24.21,25.73,25.27,25.68,25.47,25.66,25.36,25.1,25.2,25.0,25.45,26.04,25.4,25.89,26.42,26.09,24.21,24.37,23.73,25.03,25.16
