Date,KOLKATA,AGARTALA,CHITTAGONG,BOGRA,SYLHET,JESSORE,ISHURDI,RANGPUR,COXS BAZAR,DHAKA,BARISAL,SILIGURI,CHANDPUR,SRIMANGAL,SAIDPUR,MYMENSINGH,RAJSHAHI,PATUAKHALI,KHULNA,CHUADANGA,COMILLA,DINAJPUR,KHEPUPARA,SATKHIRA,FARIDPUR,HATIA,SANDWIP,KUTUBDIA,TANGAIL,MONGLA,MADARIPUR,MAIJDICOURT,BHOLA,RANGAMATI,SITAKUNDU,KYAUKTAW,TEKNAF,MALDA,RAJARHAT KURIGRAM,DHUBRI,JORHAT,COOCH BEHAR
1980-01-01,12.89,12.11,14.37,12.89,12.0,12.22,12.14,12.49,14.5,16.0,12.89,8.94,16.0,12.0,12.33,13.11,12.39,12.89,13.86,12.85,13.37,12.02,12.89,13.54,14.01,14.28,14.5,14.93,13.23,14.21,13.89,15.03,12.89,14.36,13.76,15.61,15.0,13.07,12.08,13.65,10.88,11.17
1980-01-02,16.06,11.06,15.08,13.98,15.0,13.37,13.27,13.35,15.42,18.0,13.94,15.0,18.0,15.0,15.0,14.65,14.03,13.94,14.99,13.77,13.3,13.65,13.94,14.6,14.52,15.34,15.44,15.93,14.57,15.21,15.25,15.62,13.94,15.1,14.87,16.38,15.55,14.31,13.35,14.68,12.82,14.11
1980-01-03,16.06,13.94,15.14,13.72,15.0,13.9,13.52,13.48,15.72,15.0,15.0,15.0,15.0,15.0,15.0,14.18,13.82,15.0,15.07,13.91,14.29,13.64,15.0,14.59,14.41,15.13,14.86,16.08,14.5,15.45,15.0,15.32,15.0,15.19,14.41,16.66,15.69,14.54,12.97,14.74,12.85,14.64
1980-01-04,14.0,12.11,15.21,13.38,14.0,13.29,12.76,12.3,15.65,16.0,16.0,10.0,16.0,14.0,13.0,13.73,13.12,16.0,15.12,13.38,13.45,12.64,16.0,14.61,14.24,14.96,14.88,15.95,13.89,15.13,16.0,15.49,16.0,14.78,14.41,15.97,15.68,13.6,12.03,13.35,13.28,12.56
1980-01-05,13.97,10.0,15.29,13.57,15.0,13.42,13.0,12.81,15.75,17.0,17.0,8.94,17.0,15.0,12.64,13.59,12.82,17.0,14.41,12.77,13.43,12.34,17.0,13.78,13.76,15.07,14.97,15.99,13.71,14.87,17.0,15.3,17.0,14.51,14.23,16.13,15.44,13.54,12.7,13.67,11.95,11.4
1980-01-06,12.94,8.94,14.66,12.63,12.0,12.7,12.03,11.93,15.21,14.0,16.37,7.89,14.0,12.0,11.77,12.41,12.12,17.0,13.8,12.07,11.45,11.27,17.0,13.31,13.02,14.21,14.04,15.05,12.26,13.97,15.54,14.39,17.0,13.6,13.41,14.52,14.65,12.47,11.4,12.66,11.18,11.09
1980-01-07,11.03,7.89,14.97,12.68,13.0,12.96,12.46,11.46,15.21,18.0,16.42,8.5,18.0,13.0,9.0,13.18,12.21,16.0,14.4,12.41,12.89,10.75,16.0,13.29,13.82,14.64,13.92,14.83,12.92,14.63,16.97,14.75,16.0,13.33,12.94,14.54,14.34,11.91,11.29,12.02,10.77,9.29
1980-01-08,8.97,8.34,13.95,11.96,9.0,12.33,11.54,11.31,14.51,15.0,15.0,7.89,15.0,9.0,10.0,12.28,11.1,15.0,13.13,10.97,10.92,10.5,15.0,12.34,12.34,13.39,13.16,14.25,11.81,13.41,15.0,13.6,15.0,12.59,12.36,13.72,13.92,11.45,10.43,11.44,9.77,9.37
1980-01-09,10.0,7.89,13.06,11.55,10.0,11.81,11.2,10.85,13.29,12.0,12.0,8.0,12.0,10.0,10.55,11.89,11.02,12.42,12.21,10.79,9.96,10.07,12.16,11.53,12.25,12.3,11.75,12.67,10.98,12.88,12.0,13.16,11.84,11.51,11.27,11.97,12.29,11.65,9.94,11.53,9.61,10.78
1980-01-10,8.97,10.91,13.22,11.54,10.0,11.35,11.15,11.02,13.7,12.0,12.0,11.0,12.0,10.0,11.0,11.42,10.83,13.36,11.95,11.19,12.0,10.64,12.14,12.29,12.1,12.93,12.75,13.59,11.15,12.55,12.0,13.36,12.37,12.38,12.2,12.2,13.11,12.0,10.23,11.98,10.7,10.56
1980-01-11,10.0,8.94,13.31,11.34,8.0,11.46,10.93,10.91,13.74,13.0,13.0,9.0,13.0,8.0,10.0,10.47,10.31,12.34,12.21,10.39,13.0,9.85,11.73,11.73,11.78,11.94,12.0,12.65,10.3,11.98,13.0,12.68,11.75,11.96,11.41,11.44,12.98,11.31,9.87,11.34,9.85,10.29
1980-01-12,8.97,7.89,13.04,11.55,9.0,11.39,10.69,11.1,13.43,13.0,13.0,8.94,13.0,9.0,9.83,11.55,10.52,12.21,11.82,10.12,13.0,9.74,11.78,11.25,11.43,11.84,11.82,12.42,10.85,12.15,13.0,12.75,11.43,11.23,11.01,11.85,12.19,11.34,9.62,11.32,9.46,11.04
1980-01-13,11.03,8.94,13.36,11.39,11.0,11.45,11.12,10.45,13.77,13.0,13.0,5.0,13.0,11.0,10.0,11.2,10.72,11.89,11.64,9.92,13.0,9.29,11.7,11.18,11.59,12.28,11.79,12.63,10.66,12.54,13.0,12.39,11.29,11.28,10.9,11.58,12.61,10.88,9.24,11.21,9.82,9.43
1980-01-14,13.97,13.91,14.68,12.06,13.0,12.8,11.94,11.18,14.79,15.0,16.5,8.94,15.0,13.0,9.0,12.45,11.46,13.11,12.87,11.27,15.0,10.36,13.0,12.52,12.76,13.2,13.92,14.45,12.3,13.63,15.0,14.25,12.76,12.82,13.05,13.86,14.31,11.91,9.76,12.35,10.68,10.08
1980-01-15,13.97,7.89,14.23,12.27,12.0,12.79,11.89,11.56,14.68,15.0,16.06,7.89,15.0,12.0,11.28,12.12,11.81,13.3,13.01,11.82,15.0,10.97,13.37,12.39,12.44,13.54,13.51,13.89,12.12,13.47,15.0,14.01,12.8,12.57,12.67,12.72,13.61,12.09,10.2,12.09,10.62,10.35
