Station_Name,Country,Station_ID,Latitude,Longitude,Elevation,max_temp
BARISAL,Bangladesh,BGM00041950,22.75,90.3668333,4,41.63888889
BHOLA,Bangladesh,41951099999,22.6833333,90.65,5,38.77777778
BOGRA,Bangladesh,BGM00041883,24.85,89.3668333,20,42.47222223
CHANDPUR,Bangladesh,41941099999,23.2666666,90.7,7,40
CHITTAGONG,Bangladesh,BGM00041978,22.2498055,91.813143,3.675,39.52777778
CHUADANGA,Bangladesh,41926099999,23.65,88.8166666,12,43.22222222
COMILLA,Bangladesh,41933099999,23.4333333,91.1833333,9,39.77777778
COXS BAZAR,Bangladesh,BGM00041992,21.452097,91.9639445,3.675,43
DHAKA,Bangladesh,41922099999,23.800372,90.38782333,7.916666667,40.48148148
DINAJPUR,Bangladesh,41863099999,25.65,88.6833333,37,40.27777778
FARIDPUR,Bangladesh,41929099999,23.6,89.85,9,42.5
HATIA,Bangladesh,41963099999,22.4333333,91.1,4,39.38888889
ISHURDI,Bangladesh,BGM00041907,24.15275,89.049223,13.705,43.08333334
JESSORE,Bangladesh,BGM00041936,23.1839,89.1609165,6.095,43.27777778
KHEPUPARA,Bangladesh,41984099999,21.9833333,90.2333333,9,40
KHULNA,Bangladesh,41947099999,22.7833333,89.5333333,4,40.72222222
KUTUBDIA,Bangladesh,41989099999,21.8166666,91.85,7,39.77777778
MADARIPUR,Bangladesh,41939099999,23.1666666,90.1833333,13,39.61111111
MAIJDICOURT,Bangladesh,41953099999,22.8666666,91.1,6,46.61111111
MONGLA,Bangladesh,41958099999,22.6,89.5,-999.9,40.5
MYMENSINGH,Bangladesh,41886099999,24.7166666,90.4333333,19,38.61111111
PATUAKHALI,Bangladesh,41960099999,22.3333333,90.3333333,3,39.5
RAJARHAT KURIGRAM,Bangladesh,41862199999,25.8,89.55,31,39.61111111
RANGAMATI,Bangladesh,41966099999,22.5333333,92.2,63,42
RANGPUR,Bangladesh,BGM00041859,25.73316665,89.23316665,34,43.72222222
SAIDPUR,Bangladesh,41858099999,25.75,88.9166666,39,47
SANDWIP,Bangladesh,41964099999,22.4833333,91.4333333,6,38.88888889
SATKHIRA,Bangladesh,41946099999,22.7166666,89.0833333,6,40.5
RAJSHAHI,Bangladesh,41895099999,24.437219,88.616511,19.5,42.61111111
SITAKUNDU,Bangladesh,41965099999,22.5833333,91.7,10,40.22222222
SRIMANGAL,Bangladesh,41915099999,24.3,91.7333333,23,41
SYLHET,Bangladesh,41891099999,24.963121,91.8668915,15.22,40
TANGAIL,Bangladesh,41909099999,24.25,89.9333333,-999.9,40.22222222
TEKNAF,Bangladesh,41998099999,20.8666666,92.3,6,38.61111111
AGARTALA,India,IN021010100,23.884989,91.245225,15.01,43.61111111
COOCH BEHAR,India,IN024041000,26.33316665,89.4668333,43,38.27777778
JORHAT,India,42423099999,26.0666666,90.1666666,880,42.22222222
DHUBRI,India,IN003030100,26.017,89.983,36,36.66666667
KOLKATA,India,42807099999,22.59276808,88.39076383,5.7175,41.30555556
MALDA,India,IN024090600,25.03316665,88.13316665,31,39.38888889
SILIGURI,India,IN024059900,26.657103,88.3227835,128.285,44.41666667
KYAUKTAW,Mayanmar,48051099999,20.85,92.6333333,3.04,41.27777778
